idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
0,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
8,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
21,dis,0,0.0,0.0,0,0.0,0.0,1,0.2890648263178879,0.1,1,0.2890648263178879,0.1
40,dis,0,0.0,0.0,0,0.0,0.0,1,0.3010299956639812,0.1111111111111111,1,0.3010299956639812,0.1111111111111111
44,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
45,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
51,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
60,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.27023815442731974,0.08333333333333333
67,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
71,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
75,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.27023815442731974,0.08333333333333333
79,dis,0,0.0,0.0,0,0.0,0.0,1,0.31546487678572877,0.125,1,0.31546487678572877,0.125
80,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
82,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
85,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
108,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
111,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
117,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.2559580248098155,0.07142857142857142
119,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
123,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
133,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
136,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
137,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
137,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
138,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
149,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
155,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
160,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
161,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
162,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
163,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
167,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
179,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
182,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
187,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
188,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
189,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
191,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
200,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
208,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
211,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
226,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
